lon,lat,temp_noon_K,temp_midnight_K,temp_diff_K
-179.25,-76.75,278.8364,79.7284,199.1080
-179.25,-76.25,261.1973,74.4815,186.7158
-179.25,-75.75,229.9099,66.2352,163.6747
-179.25,-75.25,275.4688,77.6797,197.7891
-179.25,-74.75,278.9612,81.0104,197.9508
-179.25,-74.25,275.6292,79.1320,196.4972
-179.25,-73.75,267.3018,76.3112,190.9906
-179.25,-73.25,274.8614,76.8887,197.9727
-179.25,-72.75,291.4410,82.3820,209.0590
-179.25,-72.25,268.3694,77.0250,191.3444
-179.25,-71.75,284.5596,81.9781,202.5815
-179.25,-71.25,276.1473,78.2941,197.8532
-179.25,-70.75,290.4256,82.3989,208.0267
-179.25,-70.25,273.4006,84.0083,189.3923
-179.25,-69.75,294.5463,86.7358,207.8105
-179.25,-69.25,293.8171,85.6268,208.1903
-179.25,-68.75,306.4076,86.5668,219.8408
-179.25,-68.25,303.3649,85.3499,218.0150
-179.25,-67.75,302.3002,85.3609,216.9393
-179.25,-67.25,302.3417,84.8330,217.5087
-179.25,-66.75,308.3444,84.4945,223.8499
-179.25,-66.25,286.6699,81.4313,205.2386
-179.25,-65.75,262.8963,74.8773,188.0190
-179.25,-65.25,314.3190,88.2346,226.0844
-179.25,-64.75,326.3273,88.8729,237.4544
-179.25,-64.25,312.6960,86.2882,226.4078
-179.25,-63.75,310.7732,85.6917,225.0815
-179.25,-63.25,313.5894,87.1565,226.4329
-179.25,-62.75,313.3720,86.2957,227.0763
-179.25,-62.25,303.8379,84.5358,219.3021
-179.25,-61.75,316.4234,86.8535,229.5699
-179.25,-61.25,317.8060,88.3830,229.4230
-179.25,-60.75,328.6784,88.9913,239.6871
-179.25,-60.25,316.2968,88.4509,227.8459
-179.25,-59.75,322.3883,87.0397,235.3486
-179.25,-59.25,319.8562,88.3412,231.5150
-179.25,-58.75,325.3062,88.9430,236.3632
-179.25,-58.25,326.3381,88.7153,237.6228
-179.25,-57.75,327.7349,88.7533,238.9816
-179.25,-57.25,334.5168,90.3190,244.1978
-179.25,-56.75,328.2538,89.4251,238.8287
-179.25,-56.25,331.2032,89.3237,241.8795
-179.25,-55.75,330.9199,89.1865,241.7334
-179.25,-55.25,333.0818,89.0857,243.9961
-179.25,-54.75,335.1673,89.6318,245.5355
-179.25,-54.25,335.7209,90.0029,245.7180
-179.25,-53.75,337.2711,90.6951,246.5760
-179.25,-53.25,339.0278,90.3788,248.6490
-179.25,-52.75,336.7958,90.0037,246.7921
-179.25,-52.25,334.2781,90.2841,243.9940
-179.25,-51.75,342.5457,91.4608,251.0849
-179.25,-51.25,337.6179,90.0247,247.5932
-179.25,-50.75,336.1560,89.5643,246.5917
-179.25,-50.25,345.7298,92.4802,253.2496
-179.25,-49.75,343.6319,92.2194,251.4125
-179.25,-49.25,361.5138,95.8025,265.7113
-179.25,-48.75,352.2247,92.9049,259.3198
-179.25,-48.25,338.9494,90.6752,248.2742
-179.25,-47.75,337.6145,90.2945,247.3200
-179.25,-47.25,352.2298,92.7254,259.5044
-179.25,-46.75,349.5961,92.1766,257.4195
-179.25,-46.25,350.6094,91.6627,258.9467
-179.25,-45.75,350.0047,91.4198,258.5849
-179.25,-45.25,346.5469,91.0712,255.4757
-179.25,-44.75,350.0711,92.5575,257.5136
-179.25,-44.25,361.0105,93.7370,267.2735
-179.25,-43.75,355.5030,91.5979,263.9051
-179.25,-43.25,352.6388,93.6425,258.9963
-179.25,-42.75,352.1308,93.9225,258.2083
-179.25,-42.25,360.1937,94.5211,265.6726
-179.25,-41.75,364.1830,96.3567,267.8263
-179.25,-41.25,365.8325,96.5660,269.2665
-179.25,-40.75,362.6081,96.5939,266.0142
-179.25,-40.25,363.5736,94.7764,268.7972
-179.25,-39.75,362.1309,94.4448,267.6861
-179.25,-39.25,363.9980,94.4674,269.5306
-179.25,-38.75,364.5846,94.7562,269.8284
-179.25,-38.25,365.3990,94.7114,270.6876
-179.25,-37.75,366.9143,95.8251,271.0892
-179.25,-37.25,367.9420,97.8071,270.1349
-179.25,-36.75,369.6637,96.5476,273.1161
-179.25,-36.25,370.2526,96.6511,273.6015
-179.25,-35.75,370.6271,97.8035,272.8236
-179.25,-35.25,369.9539,96.9226,273.0313
-179.25,-34.75,356.9595,93.7306,263.2289
-179.25,-34.25,374.4317,96.5232,277.9085
-179.25,-33.75,377.0738,96.7159,280.3579
-179.25,-33.25,373.4704,96.3155,277.1549
-179.25,-32.75,370.6810,96.3959,274.2851
-179.25,-32.25,365.8301,96.1311,269.6990
-179.25,-31.75,372.4106,97.1903,275.2203
-179.25,-31.25,378.4817,97.4214,281.0603
-179.25,-30.75,381.7841,98.6569,283.1272
-179.25,-30.25,376.7056,98.2808,278.4248
-179.25,-29.75,374.9479,98.5403,276.4076
-179.25,-29.25,377.9386,98.4098,279.5288
-179.25,-28.75,378.9899,98.0700,280.9199
-179.25,-28.25,378.5616,97.2157,281.3459
-179.25,-27.75,370.0303,96.5811,273.4492
-179.25,-27.25,371.8860,97.0324,274.8536
-179.25,-26.75,385.5011,99.1399,286.3612
-179.25,-26.25,384.3385,99.0377,285.3008
-179.25,-25.75,379.8183,98.7764,281.0419
-179.25,-25.25,380.0266,98.1640,281.8626
-179.25,-24.75,380.6638,97.8931,282.7707
-179.25,-24.25,380.5476,98.4178,282.1298
-179.25,-23.75,380.4750,98.3844,282.0906
-179.25,-23.25,377.0709,97.7038,279.3671
-179.25,-22.75,377.3376,96.7692,280.5684
-179.25,-22.25,381.3775,98.4113,282.9662
-179.25,-21.75,382.5921,99.0313,283.5608
-179.25,-21.25,381.0557,98.4256,282.6301
-179.25,-20.75,379.3461,98.2967,281.0494
-179.25,-20.25,385.3169,98.7691,286.5478
-179.25,-19.75,385.6726,99.1199,286.5527
-179.25,-19.25,383.6993,98.6595,285.0398
-179.25,-18.75,384.1653,98.4152,285.7501
-179.25,-18.25,385.6474,99.8830,285.7644
-179.25,-17.75,385.3657,100.6640,284.7017
-179.25,-17.25,386.4869,100.6471,285.8398
-179.25,-16.75,387.1157,99.4228,287.6929
-179.25,-16.25,382.2985,98.8758,283.4227
-179.25,-15.75,383.8613,99.5636,284.2977
-179.25,-15.25,386.3248,99.7261,286.5987
-179.25,-14.75,380.4078,98.7644,281.6434
-179.25,-14.25,389.1358,101.3063,287.8295
-179.25,-13.75,388.2157,100.6861,287.5296
-179.25,-13.25,385.3759,100.6349,284.7410
-179.25,-12.75,382.9042,99.7818,283.1224
-179.25,-12.25,387.2253,100.3680,286.8573
-179.25,-11.75,387.7762,100.9311,286.8451
-179.25,-11.25,388.0566,100.2317,287.8249
-179.25,-10.75,386.3743,99.8590,286.5153
-179.25,-10.25,386.8431,100.4782,286.3649
-179.25,-9.75,387.5814,100.8180,286.7634
-179.25,-9.25,387.5278,100.7157,286.8121
-179.25,-8.75,388.2466,102.2244,286.0222
-179.25,-8.25,386.6678,100.7136,285.9542
-179.25,-7.75,387.7840,100.2721,287.5119
-179.25,-7.25,386.6972,100.2826,286.4146
-179.25,-6.75,387.3603,100.8974,286.4629
-179.25,-6.25,384.6860,101.0258,283.6602
-179.25,-5.75,381.8494,100.8436,281.0058
-179.25,-5.25,383.6916,-nan,-nan
-179.25,-4.75,388.5118,-nan,-nan
-179.25,-4.25,389.1026,-nan,-nan
-179.25,-3.75,388.9197,100.8237,288.0960
-179.25,-3.25,388.1010,100.6097,287.4913
-179.25,-2.75,388.2232,101.2924,286.9308
-179.25,-2.25,388.6160,100.1169,288.4991
-179.25,-1.75,389.2068,101.0940,288.1128
-179.25,-1.25,388.9360,102.8982,286.0378
-179.25,-0.75,386.6683,101.5938,285.0745
-179.25,-0.25,387.2609,102.5391,284.7218
-179.25,0.25,387.8801,102.1539,285.7262
-179.25,0.75,388.0627,101.2987,286.7640
-179.25,1.25,387.9797,101.8211,286.1586
-179.25,1.75,388.1809,101.6559,286.5250
-179.25,2.25,388.8372,101.0626,287.7746
-179.25,2.75,387.3160,101.0497,286.2663
-179.25,3.25,389.6383,101.4281,288.2102
-179.25,3.75,385.3352,102.0714,283.2638
-179.25,4.25,386.2835,101.0760,285.2075
-179.25,4.75,384.8814,100.4525,284.4289
-179.25,5.25,385.8128,100.6277,285.1851
-179.25,5.75,386.6310,100.2186,286.4124
-179.25,6.25,386.6504,100.0567,286.5937
-179.25,6.75,386.0454,104.1994,281.8460
-179.25,7.25,386.6560,100.0334,286.6226
-179.25,7.75,387.5456,99.9541,287.5915
-179.25,8.25,386.2528,99.8220,286.4308
-179.25,8.75,385.0554,99.5001,285.5553
-179.25,9.25,385.6466,99.3501,286.2965
-179.25,9.75,384.4961,100.1211,284.3750
-179.25,10.25,383.6788,100.1416,283.5372
-179.25,10.75,383.2523,99.9917,283.2606
-179.25,11.25,384.4099,100.4353,283.9746
