crater_id,lat,lon,diameter_km,depth_km,depth_diameter_ratio
10935,-8.3199,-176.8724,14.571,0.8235,0.0565
10969,-56.0715,-176.8652,29.297,2.172,0.0741
10975,46.4096,-176.8646,26.052,1.6726,0.0642
10995,-0.0422,-176.857,10.468,0.7188,0.0687
11011,6.0234,-176.852,12.393,0.8071,0.0651
11019,-79.7484,-176.85,17.374,2.679,0.1542
11057,38.7316,-176.8395,16.768,0.819,0.0488
11074,8.467,-176.8343,10.744,0.67,0.0624
11174,-9.8523,-176.802,10.696,1.3055,0.1221
11187,-14.0859,-176.8,12.996,1.9474,0.1498
11194,-5.8792,-176.799,13.738,0.5249,0.0382
11195,-19.6853,-176.7983,60.522,4.3225,0.0714
11217,67.1813,-176.787,15.481,0.7643,0.0494
11224,33.2988,-176.7822,10.472,0.2756,0.0263
11233,-10.6011,-176.7805,11.66,1.0608,0.091
11285,-14.438,-176.7651,61.066,3.2943,0.0539
11350,0.9,-176.75,11.003,1.9565,0.1778
11358,-3.2588,-176.749,17.035,0.9048,0.0531
11365,76.2469,-176.749,14.401,1.3126,0.0911
11375,-28.4929,-176.7445,124.407,3.0894,0.0248
11380,-77.1393,-176.7429,11.92,0.8103,0.068
11421,31.4703,-176.73,26.772,1.567,0.0585
11437,54.553,-176.7261,77.803,3.5239,0.0453
11445,23.4545,-176.7237,16.021,1.8491,0.1154
11521,-0.3963,-176.703,11.792,0.8199,0.0695
11525,-10.3702,-176.702,12.018,0.9981,0.0831
11570,62.5218,-176.6922,12.282,0.4228,0.0344
11663,34.7549,-176.664,14.16,2.0021,0.1414
11670,8.2297,-176.663,10.605,0.3588,0.0338
11761,40.6876,-176.641,10.052,0.2314,0.023
11778,64.9566,-176.6356,15.635,1.278,0.0817
11782,-17.1606,-176.6338,32.877,1.7841,0.0543
11815,40.1563,-176.625,10.424,0.793,0.0761
11822,-46.8205,-176.6227,46.202,2.077,0.045
11842,65.9464,-176.619,10.709,0.3498,0.0327
11843,-2.4183,-176.6183,18.468,0.8728,0.0473
11906,43.5201,-176.6,10.632,1.1259,0.1059
11945,-12.8096,-176.5874,10.182,0.7111,0.0698
11973,30.3701,-176.58,13.307,2.6031,0.1956
12023,-17.1983,-176.5683,96.825,4.4788,0.0463
12063,72.7896,-176.555,14.262,2.7,0.1893
12087,9.03,-176.55,11.204,1.4396,0.1285
12121,-45.5386,-176.5422,26.182,1.222,0.0467
12135,-1.0234,-176.539,12.157,2.4694,0.2031
12190,45.4278,-176.5249,17.102,1.5891,0.0929
12239,62.9255,-176.51,108.67,4.9839,0.0459
12332,41.4301,-176.49,12.626,0.8133,0.0644
12353,60.188,-176.484,14.214,0.5124,0.036
12358,61.5015,-176.4812,12.545,0.9563,0.0762
12398,-44.5129,-176.4673,18.025,1.5445,0.0857
12437,-24.5582,-176.4578,12.416,0.6165,0.0497
12486,64.2265,-176.445,13.291,1.4853,0.1118
12512,-0.7368,-176.4377,10.102,0.6278,0.0621
12524,12.682,-176.434,27.814,3.4715,0.1248
12539,61.8077,-176.4297,19.546,1.457,0.0745
12572,-11.5,-176.422,11.223,0.916,0.0816
12600,11.1602,-176.415,17.017,1.4718,0.0865
12680,41.1302,-176.394,12.216,1.1553,0.0946
12685,14.3335,-176.393,10.871,0.8504,0.0782
12694,-34.4688,-176.391,10.424,0.723,0.0694
12734,0.3754,-176.3807,23.227,0.848,0.0365
12756,15.1231,-176.374,12.726,1.3008,0.1022
12793,38.1749,-176.3661,30.396,2.4161,0.0795
12889,-35.8918,-176.3473,31.828,1.2095,0.038
12900,-6.0738,-176.3438,16.656,0.6026,0.0362
12909,51.6841,-176.342,14.758,2.1375,0.1448
13025,-7.8799,-176.3039,31.447,1.5789,0.0502
13113,-76.3257,-176.28,67.06,3.5173,0.0525
13119,30.7136,-176.278,11.28,0.7486,0.0664
13198,-64.3986,-176.2532,19.831,2.9998,0.1513
13224,25.25,-176.25,11.159,1.064,0.0953
13234,-57.3388,-176.247,16.734,2.1844,0.1305
13305,-7.4803,-176.2279,22.782,2.4273,0.1065
13318,59.6176,-176.2226,16.396,0.6288,0.0384
13365,55.6071,-176.213,12.561,1.1213,0.0893
13373,-5.284,-176.2104,15.113,0.9028,0.0597
13396,-34.7478,-176.2046,10.658,0.3683,0.0346
13457,-4.7539,-176.1862,21.994,0.7595,0.0345
13459,-0.9441,-176.186,11.053,2.0858,0.1887
13502,-58.7799,-176.1719,29.576,0.6635,0.0224
13504,57.325,-176.1711,17.612,1.1759,0.0668
13518,7.307,-176.1671,162.398,3.785,0.0233
13552,0.9772,-176.1608,22.91,2.3319,0.1018
13602,24.9773,-176.147,11.561,1.2364,0.1069
13618,17.185,-176.1401,16.156,0.5968,0.0369
13623,-18.1797,-176.139,13.446,1.1323,0.0842
13624,-44.0414,-176.1389,25.106,2.4591,0.0979
13630,71.8731,-176.1367,24.728,1.8778,0.0759
13659,49.3895,-176.1247,122.464,4.4431,0.0363
13681,10.91,-176.12,10.538,2.1373,0.2028
13692,9.3831,-176.1154,11.318,0.3933,0.0347
13720,9.9445,-176.1078,27.009,1.3085,0.0484
13765,20.1161,-176.0947,24.825,2.8825,0.1161
13794,42.4548,-176.0896,21.444,1.5933,0.0743
13807,25.5454,-176.087,48.072,4.8205,0.1003
13815,36.3027,-176.0842,17.088,0.8341,0.0488
13827,-1.6654,-176.0811,14.249,1.1983,0.0841
13897,57.9601,-176.06,14.638,0.5875,0.0401
13913,49.6202,-176.053,14.498,1.2634,0.0871
13983,-3.8981,-176.0328,37.115,2.9601,0.0798
13984,41.7821,-176.0324,18.632,1.9945,0.107
13998,33.3605,-176.0308,25.434,0.959,0.0377
14023,-46.3911,-176.0222,69.43,2.077,0.0299
14049,-30.8149,-176.016,11.348,0.3815,0.0336
14057,32.782,-176.0129,25.003,1.7578,0.0703
14128,-53.1469,-175.9955,42.522,1.138,0.0268
14188,-10.1269,-175.9802,10.249,1.0215,0.0997
14199,-62.1802,-175.9774,12.429,0.4586,0.0369
14203,34.683,-175.9745,18.674,2.5374,0.1359
14238,79.0127,-175.967,12.528,1.0183,0.0813
14241,-14.6804,-175.9643,15.092,1.2338,0.0818
14269,44.7733,-175.9567,16.993,2.0815,0.1225
14297,43.8163,-175.949,16.904,1.2345,0.073
14358,13.4472,-175.929,10.821,1.0206,0.0943
14401,16.5445,-175.914,10.038,0.921,0.0917
14424,1.9116,-175.9086,12.489,0.7596,0.0608
14444,10.1372,-175.9007,14.628,0.3083,0.0211
14457,-12.4481,-175.8981,48.294,2.8355,0.0587
14472,7.6469,-175.894,12.105,0.62,0.0512
14488,-17.6307,-175.8894,17.455,1.5765,0.0903
14539,36.9714,-175.8739,22.971,1.2028,0.0524
14563,50.6955,-175.867,12.895,1.1113,0.0862
14662,8.1665,-175.8397,14.83,1.524,0.1028
14669,6.9304,-175.838,10.617,0.9523,0.0897
14717,29.0927,-175.8231,11.539,0.6888,0.0597
14737,-40.7581,-175.8198,25.572,2.8423,0.1111
14759,63.1542,-175.8111,25.038,1.4658,0.0585
14787,30.3834,-175.8014,19.015,1.425,0.0749
14804,-0.0252,-175.7996,16.251,2.1086,0.1298
14815,-10.6837,-175.796,11.094,0.4475,0.0403
14858,-3.0072,-175.7849,15.527,2.557,0.1647
14884,53.2301,-175.78,10.398,0.9823,0.0945
14961,46.982,-175.7604,63.278,4.1386,0.0654
14975,9.3682,-175.758,12.848,1.1583,0.0902
14998,-1.2068,-175.752,10.891,2.2729,0.2087
15068,-30.8649,-175.735,12.321,1.0108,0.082
15099,5.8415,-175.726,14.909,2.0068,0.1346
15171,-20.357,-175.707,10.967,0.6505,0.0593
15196,15.6325,-175.699,10.364,1.8709,0.1805
15279,-2.2704,-175.6755,48.774,3.0908,0.0634
15284,68.3082,-175.6745,58.121,2.9875,0.0514
15352,-53.9439,-175.659,12.658,2.5036,0.1978
15355,3.8025,-175.6572,58.191,4.1823,0.0719
15360,6.2808,-175.6544,11.698,0.465,0.0398
15392,-18.9217,-175.6495,11.854,0.4794,0.0404
15421,-50.3672,-175.6413,19.848,0.8619,0.0434
15458,-32.068,-175.6333,35.012,1.066,0.0304
15641,58.0201,-175.59,10.206,0.729,0.0714
15658,66.4493,-175.588,13.603,0.5336,0.0392
15683,10.7415,-175.5809,13.159,0.2383,0.0181
15791,40.6992,-175.547,13.058,1.0926,0.0837
15824,-55.9159,-175.54,10.63,0.4503,0.0424
15851,-49.0705,-175.5324,13.135,0.6414,0.0488
15896,-8.8247,-175.5216,99.046,4.6021,0.0465
16046,39.6718,-175.482,10.411,1.4423,0.1385
16055,23.2405,-175.481,11.772,0.737,0.0626
16100,-21.1456,-175.4697,19.496,1.44,0.0739
16205,73.1646,-175.445,10.419,1.1815,0.1134
16214,11.2685,-175.443,12.287,1.0805,0.0879
16243,-62.3206,-175.4344,18.367,1.171,0.0638
16311,19.5799,-175.4137,12.204,1.0995,0.0901
16312,-5.7086,-175.4133,13.827,0.7469,0.054
16347,34.3911,-175.404,13.531,1.0256,0.0758
16374,-5.9933,-175.3962,10.197,0.6128,0.0601
16429,33.1258,-175.3809,10.284,0.1768,0.0172
16454,60.8094,-175.3724,12.361,0.3516,0.0284
