Flags_data,ID,Lat,Lon,Diam_km,Age
CE1,842,-17.4358,44.1422,16.89370252,2
CE1,843,27.1736,-110.4,16.89229324,2
CE1,844,-55.7439,11.8559,16.8917165,2
CE1,845,16.0639,-173.362,16.88768474,5
CE1,846,7.34144,150.01,16.8873227,5
CE1,847,-39.7634,-159.642,16.88163366,2
CE1,848,-57.4216,13.8819,16.88051076,3
CE1,849,58.059,-85.738,16.87985533,2
CE1,850,-46.6185,47.7906,16.87623923,2
CE1,851,-13.7781,23.11,16.87345392,5
CE1,852,-43.8226,-63.92,16.86838429,3
CE1,853,10.0844,-123.111,16.85870814,5
CE1,854,59.4705,-80.544,16.84910644,2
CE1,855,-15.216,-133.357,16.84198196,5
CE1,856,-0.741798,-69.543,16.83685043,5
CE1,857,-55.8122,-174.904,16.83629915,3
CE1,858,-23.3286,137.388,16.83455236,5
CE1,859,3.66988,-120.739,16.83348308,5
CE1,860,63.3417,89.5045,16.82751406,5
CE1,861,43.3588,125.41,16.82734756,2
CE1,862,-48.0573,60.0638,16.82082142,5
CE1,863,-39.9247,63.8597,16.81807482,2
CE1,864,-36.526,129.83,16.81721005,1
CE1,865,-59.3782,-117.74,16.81673046,5
CE1,866,-37.0557,-77.483,16.8140975,4
CE1,867,-27.2441,1.07948,16.81267867,5
CE1,868,-32.9261,-67.43,16.81188196,2
CE1,869,-54.1504,-158.789,16.81121658,3
CE1,870,14.6218,-168.433,16.80433722,5
CE1,871,-28.2022,153.832,16.80367398,5
CE1,872,4.70736,155.51,16.79964848,5
CE1,873,-32.4286,-42.559,16.7981657,4
CE1,874,-17.8227,86.6517,16.79799952,5
CE1,875,-19.4504,97.9595,16.79695556,5
CE1,876,42.5034,-95.205,16.79330268,2
CE1,877,51.7799,-101.648,16.79152553,2
CE1,878,2.56121,-161.313,16.78646637,5
CE1,879,-60.0663,-142.809,16.78557379,2
CE1,880,5.66204,-111.835,16.78477953,5
CE1,881,-2.73636,167.614,16.78328644,5
